('elet systems llc',) kw: network r: [0, 1] d: [1, 1]
('v ens co',) kw: authenticat r: [0, 1] d: [4, 1]
('siemens building technologies inc',) kw:  lan r: [0, 1] d: [1, 1]
('ipwireless inc',) kw: network r: [0, 1] d: [1, 1]
('aol advertising inc',) kw: network r: [0, 1] d: [1, 1]
('fujitsu semiconductor  limited',) kw: protect r: [0, 1] d: [1, 1]
('sanofi aventis deutshcland gmbh',) kw:  dos r: [0, 1] d: [1, 1]
('henkel kgaa',) kw: protect r: [0, 1] d: [1, 1]
('mobile technologies llc',) kw: speech recogni r: [0, 1] d: [1, 1]
('alcatel lucent usa inc via the electronic patent assignment system epas',) kw: network r: [0, 1] d: [1, 1]
('weather insight lp',) kw: forecast r: [0, 1] d: [1, 1]
('at&t global network services deutschland gmbh',) kw: query r: [0, 1] d: [1, 1]
('at&t global network services deutschland gmbh',) kw: network r: [0, 1] d: [1, 1]
('edge 3 technologies',) kw: network r: [0, 1] d: [1, 1]
('firethorn holdings llc',) kw: wireless device r: [0, 1] d: [1, 1]
('sterling commerce inc',) kw: encrypt r: [0, 1] d: [1, 1]
('sterling commerce inc',) kw: digital signature r: [0, 1] d: [1, 1]
('at&t  intellectual property i lp',) kw: network r: [0, 1] d: [1, 1]
('blue wonder communications gmbh',) kw: network r: [0, 1] d: [1, 1]
('kyocera wireless corp',) kw: authenticat r: [0, 1] d: [1, 1]
('cvon innovations limited',) kw: network r: [0, 1] d: [1, 1]
('stmicroelectronics s r l',) kw: network r: [0, 1] d: [1, 1]
('france telecom',) kw: cryptograph r: [0, 1] d: [1, 1]
('france telecom',) kw: crypto r: [0, 1] d: [1, 1]
('france telecom',) kw: encrypt r: [0, 1] d: [1, 1]
('france telecom',) kw: decrypt r: [0, 1] d: [1, 1]
('france telecom',) kw: cryptograph r: [0, 1] d: [1, 1]
('general motors corporation@@gm global technology operations inc',) kw: verify r: [0, 1] d: [1, 1]
